Feature.ID	X003.01.01	X003.01.02	X003.01.03	X003.01.04	X003.01.05	X003.01.06	X003.01.07	X003.01.08	X003.01.09	X003.01.10	X003.01.11	X003.01.12	X003.01.13	X003.01.14	X003.01.15	X003.01.16	X003.01.17	X003.01.18	X003.01.19	X003.01.20	X003.01.21	X003.01.22	X004.02.01	X004.02.02	X004.02.03	X004.02.04	X004.02.05	X004.02.06	X004.02.07	X004.02.08	X004.02.09	X004.02.10	X004.02.11	X004.02.12	X004.02.13	X004.02.14	X004.02.15	X004.02.16	X004.02.17	X004.02.18	X004.02.19	X004.02.20	X004.02.21	X004.02.22	X004.02.23	X004.02.24	X005.01.01	X005.01.02	X005.01.03	X005.01.04	X005.01.05	X005.01.06	X005.01.07	X005.01.08	X005.01.09	X005.01.10	X005.01.11	X005.01.12	X005.01.13	X005.01.14	X005.01.15	X005.01.16	X005.01.17	X005.01.18	X005.01.19	X005.01.20	X005.01.21	X005.01.22	X005.01.23	X005.01.24	X005.02.01	X005.02.02	X005.02.03	X005.02.04	X005.02.05	X005.02.06	X005.02.07	X005.02.08	X005.02.09	X005.02.10	X005.02.11	X005.02.12	X005.02.14	X005.02.15	X005.02.16	X005.02.17	X005.02.18	X005.02.19	X005.02.20	X005.02.21	X005.02.22	X005.02.23	X005.02.24	X005.03.01	X005.03.02	X005.03.03	X005.03.04	X005.03.05	X005.03.06	X005.03.07	X005.03.08	X005.03.09	X005.03.10	X005.03.11	X005.03.12	X005.03.13	X005.03.14	X005.03.15	X005.03.16	X005.03.17	X005.03.18	X005.03.19	X005.03.20	X005.03.21	X005.03.22	X005.03.23	X005.03.24	X005.04.01	X005.04.02	X005.04.03	X005.04.04	X005.04.05	X005.04.06	X005.04.07	X005.04.08	X005.04.09	X005.04.10	X005.04.11	X005.04.12	X005.04.13	X005.04.14	X005.04.15	X005.04.16	X005.04.17	X005.04.18	X005.04.20	X005.04.21	X005.04.22	X005.04.23	X006.01.01	X006.01.02	X006.01.03	X006.01.04	X006.01.05	X006.01.06	X006.01.07	X006.01.08	X006.01.09	X006.01.10	X006.01.11	X006.01.12	X006.01.13	X006.01.14	X006.01.15	X006.01.16	X006.01.17	X006.01.18	X006.01.19	X006.01.20	X006.01.21	X006.01.22	X006.01.23	X006.01.24	X006.02.01	X006.02.02	X006.02.03	X006.02.04	X006.02.05	X006.02.06	X006.02.07	X006.02.08	X006.02.09	X006.02.10	X006.02.11	X006.02.12	X006.02.13	X006.02.14	X006.02.15	X006.02.16	X006.02.17	X006.02.18	X006.02.19	X006.02.20	X006.02.21	X006.02.22	X006.02.23	X006.02.24	X006.03.01	X006.03.02	X006.03.03	X006.03.04	X006.03.05	X006.03.06	X006.03.07	X006.03.08	X006.03.09	X006.03.10	X006.03.11	X006.03.12	X006.03.13	X006.03.14	X006.03.15	X006.03.16	X006.03.17	X006.03.18	X006.03.19	X006.03.20	X006.03.21	X006.03.22	X006.03.23	X006.03.24	X006.04.01	X006.04.02	X006.04.03	X006.04.04	X006.04.05	X006.04.06	X006.04.07	X006.04.08	X006.04.09	X006.04.10	X006.04.11	X006.04.12	X006.04.13	X006.04.14	X006.04.15	X006.04.16	X006.04.17	X006.04.18	X006.04.19	X006.04.20	X006.04.21	X006.04.22	X006.04.23	X006.04.24	X007.01.01	X007.01.02	X007.01.03	X007.01.04	X007.01.05	X007.01.06	X007.01.07	X007.01.08	X007.01.09	X007.01.10	X007.01.11	X007.01.12	X007.01.13	X007.01.14	X007.01.15	X007.01.16	X007.01.17	X007.01.18	X007.01.19	X007.01.20	X007.01.21	X007.01.22	X007.01.23	X007.01.24	X007.01.25	X007.01.26	X007.01.27	X007.01.28	X007.01.29	X007.01.30	X007.02.01	X007.02.02	X007.02.03	X007.02.04	X007.02.05	X007.02.06	X007.02.07	X007.02.08	X007.02.09	X007.02.10	X007.02.11	X007.02.12	X007.02.13	X007.02.14	X007.02.15	X007.02.16	X007.02.17	X007.02.19	X007.02.20	X007.02.21	X007.02.22	X007.02.23	X007.02.24	X007.02.25	X007.02.26	X007.02.27	X007.02.28	X007.02.29	X008.01.01	X008.01.02	X008.01.03	X008.01.04	X008.01.05	X008.01.06	X008.01.07	X008.01.08	X008.01.09	X008.01.10	X008.01.11	X008.01.12	X008.01.13	X008.01.14	X008.01.15	X008.01.16	X008.01.17	X008.01.18	X008.01.19	X008.01.20	X008.01.21	X008.01.22	X008.01.23	X008.01.24	X008.01.25	X008.01.26	X008.01.27	X008.01.28	X008.01.29	X008.01.30	X008.02.01	X008.02.02	X008.02.03	X008.02.04	X008.02.05	X008.02.06	X008.02.07	X008.02.08	X008.02.09	X008.02.10	X008.02.11	X008.02.12	X008.02.13	X008.02.14	X008.02.15	X008.02.16	X008.02.17	X008.02.18	X008.02.19	X008.02.20	X008.02.21	X008.02.22	X008.02.23	X008.02.24	X008.02.25	X008.02.26	X008.02.27	X008.02.28	X008.02.29	X008.02.30	X008.03.01	X008.03.02	X008.03.03	X008.03.04	X008.03.05	X008.03.06	X008.03.07	X008.03.08	X008.03.09	X008.03.10	X008.03.11	X008.03.12	X008.03.13	X008.03.14	X008.03.15	X008.03.16	X008.03.17	X008.03.18	X008.03.19	X008.03.20	X008.03.21	X008.03.22	X008.03.23	X008.03.24	X010.01.01	X010.01.02	X010.01.03	X010.01.04	X010.01.05	X010.01.06	X010.01.07	X010.01.08	X010.01.09	X010.01.10	X010.01.11	X010.01.12	X010.01.13	X010.01.14	X010.01.15	X010.01.16	X010.01.17	X010.01.18	X010.01.19	X010.01.20	X010.01.21	X010.01.22	X010.01.23	X010.01.24
AAAA02020713.1.1297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	903	0	1	1	0	0	2	2	4	308	61	0	0	0	0	0	15	0	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	2	2	1	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAQK01001555.694.2198	5	1	0	2	2	5	2	0	0	2	3	1	3	0	2	4	1	0	0	1	1	0	22	6	2	6	213	15	12	2	9	13	284	1	4	4	0	411	324	8	3	3	0	36	1365	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	18	69	31	6	15	52	4	24	8	49	88	0	0	369	86	109	228	59	72	53	84	585	59	0	42	55	223	96	89	2	3	3	0	9	73	2	2	2	104	0	8	2	0	0	2	208	22	5	160	1	45	31	3	33	3	39	3	1	52	4	17	1	7	4	43	14	6	5	8	1	37	25	17	126	767	99	115	33	82	90	289	1	6	2	1	195	123	3	641	504	181	267	510	0	0	1	0	0	0	2	7	0	0	0	0	0	3	219	1	0	0	0	0	0	0	0	0	0	0	0	39	1	0	0	0	2	7	2	62	4	6	4	1	6	3	0	1	31	145	0	0	0	85	36	1	0	0	3	1	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAQK01003909.1492.2988	4	2	0	1	1	4	2	0	0	0	0	2	1	2	1	2	0	0	0	2	2	1	7	3	1	4	39	4	0	0	1	3	55	1	3	19	1	290	132	33	15	188	21	281	382	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	4	2	2	21	2	1	6	6	16	1	33	283	70	116	14	47	5	3	16	49	37	28	9	22	84	31	9	2	2	13	6	6	17	47	61	14	21	12	15	8	38	0	8	23	9	3	10	0	0	0	6	2	2	10	2	1	3	38	11	28	56	4	50	28	7	6	13	15	108	2	3	15	28	15	12	3	10	4	18	4	0	6	5	38	46	27	109	185	49	36	89	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	0	0	1	2	0	2	15	12	54	60	11	69	191	96	1	21	3	4	3	0	14	4	3	1	0	0	3	0	8	0	1	1	3	1	2	1	872	73	22	16	180	37	31	170	162	46	329	25	52	50	317	5	0	2	2	1	1	1	1	1	0	0	4	68	45	29	6	56	1	10	32	3	49	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAVP02000040.351.1861	1	290	94	0	0	2	0	0	1	2	8	2	2	101	2	1	0	1	3	1	1	2	401	1	268	206	0	43	63	73	102	198	0	942	403	1	112	0	3	3	3	2	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	3	95	4	0	0	0	0	0	2	0	0	24	2479	0	1	0	0	288	1	4	1	1	1	0	2	1	0	3	0	1	2	2	1	2	2	3	0	1	1	0	2	1	1	15	0	0	15	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB002519.1.1491	4	4	6	0	0	17	5	6	1	0	1	0	1	0	0	0	2	0	0	0	0	0	240	37	38	99	3	67	44	6	11	32	28	128	1	0	14	2	2	0	3	1	0	0	0	2	43	48	9	99	37	35	24	63	6	65	10	23	0	0	0	1	1	0	0	0	0	1	2	0	9	0	0	2	2	2	30	1	23	2	9	0	0	0	0	1	0	0	0	0	1	0	0	41	69	18	11	4	19	4	23	0	2	21	3	1	0	1	1	0	0	0	0	0	1	0	0	130	73	77	115	18	107	83	23	13	68	143	34	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	10	6	5	4	0	5	50	46	1	7	20	1	4	19	17	1	0	0	1	3	0	0	0	0	6	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB002525.1.1457	7	1	3	31	1	0	14	383	0	0	1	0	130	6	3	0	0	1	0	0	0	1	108	27	71	37	0	297	135	8	36	1	2	181	5	2	37	1	1	111	14	3	1	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	3	61	0	4	55	0	0	6	0	8	14	2	12	5	0	0	0	0	0	0	0
AB021195.1.1507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB023240.1.1474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	317	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB034078.1.1555	93	43	5	17	1	82	7	4	2	0	2	2	29	4	3	3	1	2	74	0	1	0	18	10	2	19	0	4	1	5	2	11	1	2	1	8	0	2	144	537	15	0	3	0	2	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	4	21	23	3	149	18	6	12	100	17	94	40	57	2	41	93	0	0	5	1	51	1	2	2	2	12	37	2	1	7	10	49	124	33	30	174	9	67	148	70	85	123	361	41	9	1	62	122	7	5	13	49	6	12	6	143	20	0	0	0	0	0	0	1	0	2	0	6	1	1	0	0	21	0	130	0	110	236	8	0	9	16	218	3	104	9	61	3	2	0	8	1	23	2	5	0	8	0	0	1	2	2	1	0	3	0	0	32	59	11	10	3	1	16	1	0	164	2	2	0	0	3	1	1	0	0	0	0	0	2	0	6	1	3	1	2	20	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB034082.1.1543	47	5	26	3	4	120	160	297	8	4	64	31	1	7	0	2	1	2	11	7	0	13	15	20	0	9	0	1	0	1	0	0	0	1	0	10	4	0	0	0	1	0	1	0	0	5	1	0	0	2	1	24	0	8	0	1	2	0	0	1	0	0	0	0	1	2	0	1	0	0	6	4	0	54	0	5	9	2	56	12	107	0	1	4	1	2	0	3	13	0	3	0	1	10	30	3	12	2	3	5	2	0	4	0	0	1	13	2	3	9	17	2	1	2	9	1	3	36	8	3	68	24	126	21	25	8	7	69	1	1	0	0	7	3	5	3	1	1	1	11	4	13	6	10	2	28	1	2	1	0	2	0	44	0	0	1	0	7	11	0	0	0	0	33	11	109	4	26	0	7	24	11	1	7	60	12	0	0	0	0	1	6	4	3	2	0	1	5	5	20	0	4	3	0	1	10	0	49	48	0	0	11	0	1	0	0	10	2	3	2	5	40	24	0	0	1	0	5	0	3	0	11	4	67	2	0	0	0	0	0	0	0	0	1	0	11	3	260	208	498	102	9	13	19	43	178	359	2	197	357	10	32	1	0	26	3	33	4	5	4	9	22	26	21	50	16	10	3	1	1	77	8	7	3	7	5	1	5	3	13	5	1	1	0	1	2	0	6	4	2	0	25	2	46	0	6	16	22	8	0	82	8	5	31	1	1	2	2	0	2	1	1	23	0	0	0	0	0	7	1	0	0	0	18	93	25	68	8	2	2	1	1	75	39	17	33	0	2	0	0	1	2	1	0	1	0	3	1	1	0	0	0	0	4	1	39	1	10	1	3	13	9	1	0	1	5	1	1	0	0	0	0	1	0	1	0	1	14	6	58	8	2	88	20	5	231	9	1	23	1	0	0	8	1	0	1	0	14	8	1	3
